iter	Logloss
0	0.6619792859
1	0.6358197591
2	0.6145818664
3	0.598415187
4	0.5851319713
5	0.5746745342
6	0.5663508798
7	0.5585407768
8	0.5517094496
9	0.5473982027
10	0.5426286717
11	0.5391702089
12	0.5334556027
13	0.5291210872
14	0.526711821
15	0.5247199707
16	0.5232416712
17	0.521147725
18	0.5191245545
19	0.5174612162
20	0.5160410709
21	0.5149496924
22	0.5137422143
23	0.5122616112
24	0.5107658573
25	0.5089247135
26	0.5076968599
27	0.5067299522
28	0.5059737829
29	0.5054063797
30	0.5045487215
31	0.5042696458
32	0.5036566518
33	0.5028362359
34	0.5023308285
35	0.5017135476
36	0.501224158
37	0.5009312852
38	0.5005767482
39	0.5001859652
40	0.4994170541
41	0.4987689286
42	0.4981504126
43	0.4977682563
44	0.4970538406
45	0.4968467987
46	0.4964411192
47	0.4956020022
48	0.4951162924
49	0.4948702653
50	0.494678829
51	0.4943785303
52	0.4940453034
53	0.4938825078
54	0.4933448112
55	0.4930263922
56	0.4928995424
57	0.492477342
58	0.4922688033
59	0.4920744506
60	0.491682862
61	0.4915112903
62	0.4912321674
63	0.4910860966
64	0.4909581562
65	0.4908171295
66	0.4905295376
67	0.4903372965
68	0.490104247
69	0.4899963488
70	0.4898884014
71	0.4896766097
72	0.4895226824
73	0.4893462252
74	0.4890784003
75	0.4888718624
76	0.4886839167
77	0.4883030981
78	0.488003214
79	0.4879182112
80	0.4876878813
81	0.487475687
82	0.4872910396
83	0.4871756044
84	0.4869634806
85	0.4866229258
86	0.4864250417
87	0.4860946106
88	0.4858428517
89	0.4856571569
90	0.4854752299
91	0.4852049331
92	0.4851064636
93	0.484867856
94	0.4846296511
95	0.4845016936
96	0.4843301277
97	0.4841066479
98	0.483859605
99	0.4837614921
100	0.4836186976
101	0.4835076359
102	0.4833273177
103	0.4831182053
104	0.482955518
105	0.4827938027
106	0.4825599169
107	0.4822729795
108	0.4820864518
109	0.4819083829
110	0.4816992455
111	0.4815362826
112	0.4812947833
113	0.48113176
114	0.4808990817
115	0.480718952
116	0.4804739291
117	0.4801603785
118	0.4799236361
119	0.4797051979
120	0.4795410623
121	0.4793979996
122	0.4791981925
123	0.478933428
124	0.4787368617
125	0.4784986268
126	0.4782854334
127	0.4780895713
128	0.4779285353
129	0.4777982507
130	0.4776917268
131	0.4774202425
132	0.4772115611
133	0.477059605
134	0.4769191301
135	0.4766777755
136	0.4764398939
137	0.4762959836
138	0.4761788459
139	0.4759583455
140	0.4757574648
141	0.4756496205
142	0.475490424
143	0.4753482231
144	0.4751783727
145	0.4750743187
146	0.474914378
147	0.4746696004
148	0.4745914962
149	0.474344851
150	0.4741687992
151	0.4739885178
152	0.473880298
153	0.473652089
154	0.4735073473
155	0.4733117573
156	0.4730148359
157	0.4728416528
158	0.472683109
159	0.4724577299
160	0.4723218356
161	0.4722167778
162	0.4720877683
163	0.4719361788
164	0.4717708343
165	0.471653342
166	0.4715146083
167	0.4713453998
168	0.4711829312
169	0.4710294885
170	0.4709072401
171	0.4707444572
172	0.4706355352
173	0.470476936
174	0.4703048103
175	0.4702439747
176	0.4700423194
177	0.4699508439
178	0.4697749545
179	0.4696581208
180	0.4694900559
181	0.4693591458
182	0.4692359281
183	0.4692034686
184	0.4690582875
185	0.4689270874
186	0.4687970048
187	0.4687005302
188	0.4686120853
189	0.4684531082
190	0.4682949364
191	0.4681514404
192	0.4680062489
193	0.4678903158
194	0.4677022757
195	0.4676055534
196	0.4675282741
197	0.4674159418
198	0.4672980222
199	0.4671815939
200	0.4669941709
201	0.4668483837
202	0.4666969758
203	0.4665639034
204	0.4664350794
205	0.4663487369
206	0.466274411
207	0.4662716176
208	0.466147109
209	0.4660733386
210	0.4659690501
211	0.4658739388
212	0.4657512035
213	0.4656587697
214	0.4655548907
215	0.4654628298
216	0.4653837994
217	0.4652137548
218	0.465104685
219	0.4650218982
220	0.4648952841
221	0.464758633
222	0.4646078291
223	0.4644181846
224	0.4642883468
225	0.4642146613
226	0.4641273098
227	0.4640020149
228	0.4638906559
229	0.4637935247
230	0.4636921134
231	0.4635388704
232	0.4634182245
233	0.4633706106
234	0.4632630789
235	0.4631091023
236	0.4628977831
237	0.4627547346
238	0.4626499202
239	0.462497947
240	0.4624313141
241	0.4622603389
242	0.462205701
243	0.4620949081
244	0.4619834231
245	0.4618205006
246	0.4617402248
247	0.4616116715
248	0.4614816737
249	0.4613971936
250	0.4612395778
251	0.4611401936
252	0.4609497572
253	0.4606647992
254	0.4605897743
255	0.460472468
256	0.4603779536
257	0.4602642805
258	0.4601822084
259	0.4600625788
260	0.4600017081
261	0.4599174592
262	0.4598125377
263	0.4596456027
264	0.4595603307
265	0.4594478293
266	0.4594397153
267	0.459310204
268	0.4592785312
269	0.4591644989
270	0.4590762104
271	0.458933801
272	0.4588383799
273	0.4587220309
274	0.4586335028
275	0.4585918592
276	0.4584737124
277	0.4584663076
278	0.4583914963
279	0.4582607573
280	0.4581110146
281	0.4580322703
282	0.4579170532
283	0.4578061596
284	0.4576455649
285	0.4575352133
286	0.4574457267
287	0.4573509311
288	0.4573381643
289	0.4572417251
290	0.4571283259
291	0.457019599
292	0.4569296618
293	0.4568433377
294	0.456732966
295	0.4566624101
296	0.4565954158
297	0.4564438072
298	0.4563726028
299	0.456300905
